price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
4850000,"Madhuban Township, Golani Naka, Vasai East, Vasai-Virar, Maharashtra 401208, Vasai East, Mumbai - Mira Road and Beyond, Maharashtra",950,2,2,3,1,2
40600000,"Western Express Highway, Malad East, Mumbai, Malad East, Mumbai - North Mumbai, Maharashtra",2800,4,4,4,3,8
26000000,"Ajmera I Land Treon Bhakti Park Bhakti Park Near Carnival Imax Wadala Road Mumbai Maharashtra 400037, Wadala East, Mumbai - Harbour Line, Maharashtra",1350,2,2,1,2,4
41500000,"lodha fiorenza, Goregaon East, Mumbai, CAMA Industrial Estate, Mumbai - North Mumbai, Maharashtra",2205,3,3,2,2,5
60000000,"Sion - Trombay Rd, Dreamland Society, Borla, Union Park, Chembur, Mumbai, Maharashtra 400071, Chembur, Mumbai - Harbour Line, Maharashtra",1976,3,2,2,1,2
9420000,"Mira Road, Mumbai, Mira Road East, Mumbai, Maharashtra",1060,2,3,4,1,2
15200000,"Near bantar bhawan, opp priyadarshini circle, chunnabhatti., Kurla East, Mumbai - Central Line, Maharashtra",1084,2,2,2,1,2
26400000,"Oberoi Eternia, mulund west, Mulund West, Mumbai - Central Line, Maharashtra",1650,3,3,2,2,4
14600000,"Eksar, Mumbai - North Mumbai, Maharashtra",913,2,2,2,1,2
32500000,"Borivali East, Mumbai, Datta Pada, Mumbai - North Mumbai, Maharashtra",1034,3,3,2,1,6
27500000,"Dosti Blossom Dosti Acres  New Uphill Link Road New Wadala Dosti Acres Antop Hill Mumbai Maharashtra 400037 India, Wadala, Mumbai - Harbour Line, Maharashtra",1260,3,3,2,1,2
17500000,"Ariso Apartments, Building No. 48, Subhash Nagar, Chembur East, Mumbai 400071, Chembur East, Mumbai, Maharashtra",1175,2,2,2,1,2
17000000,"Kanjurmarg East, Mumbai, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1100,2,2,1,11,4
120000000,"Andheri West, Mumbai., Andheri West, Mumbai - Western Suburbs, Maharashtra",3000,6,4,2,2,4
30000000,"Deonar, Oasis Banquet, Chembur, Mumbai - Harbour Line, Maharashtra",1094,3,3,2,1,3
27000000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1550,3,3,3,2,4
15300000,"Tilak nagar., Tilak Nagar - Harbour Line, Mumbai - Harbour Line, Maharashtra",1181,2,2,2,2,3
36000000,"Dadar, Mumbai, Dadar, Mumbai - Central Mumbai, Maharashtra",875,2,2,2,2,4
63000000,"sanjog CHS Next to jain sthanak, Santacruz, Mumbai - Western Suburbs, Maharashtra",1669,3,3,1,2,4
13400000,"Andheri East, Mumbai, Sakinaka Junction, Mumbai - Western Suburbs, Maharashtra",1035,2,2,2,1,2
55500000,"Ekta Trinity, Santacruz West, Mumbai 400054, Willingdon, Mumbai - Western Suburbs, Maharashtra",1775,3,3,2,2,3
49000000,"Celestia Spaces, Sewri, Mumbai - Harbour Line, Maharashtra",2252,3,3,2,2,4
22500000,"Malad East, Mumbai, Malad East, Mumbai - North Mumbai, Maharashtra",1390,2,2,3,1,6
18700000,"Mulund West, Vishwakarma Nagar, Mumbai - Central Line, Maharashtra",1014,2,2,1,1,4
50000000,"Pirangut, Pune, Versova, Mumbai - Western Suburbs, Maharashtra",2000,3,3,2,2,3
21200000,"goregaon east, Goregaon East, Mumbai - Western Suburbs, Maharashtra",1400,2,2,2,1,2
14900000,"Mira Road, Mumbai, Mira Road East, Mumbai, Maharashtra",1350,3,3,5,2,3
12800000,"mira road, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1545,3,3,4,2,2
9600000,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1055,2,2,4,1,2
55000000,"Andheri East, Marol, Mumbai - Western Suburbs, Maharashtra",1866,4,6,1,2,3
13800000,"Bhimashankar Heights, Kandarpada, DAHISAR (WEST) - Mumbai., Kandarpada, Mumbai - North Mumbai, Maharashtra",1070,2,2,1,1,2
16800000,"Akurli Road, Mira Road East, Alika Nagar, Gokul Nagar, Kandivali, Mumbai, Maharashtra, Lokhandwala Twp, Mumbai - Western Suburbs, Maharashtra",1144,2,2,1,1,3
11700000,"Mira Road, Mumbai, Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",1200,3,3,3,1,2
10600000,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",690,2,2,2,2,4
30000000,"Chembur, Mumbai - Harbour Line, Maharashtra",1000,3,3,1,1,2
30500000,"Matunga East, Mumbai, Brhmanwada, Mumbai - Central Mumbai, Maharashtra",950,2,2,2,1,2
10400000,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1024,2,2,3,2,3
34000000,"Chembur, Mumbai, Sion Trombay Road, Mumbai - Harbour Line, Maharashtra",1019,3,3,2,1,3
38800000,"omkar Alta Monte Kurar Village Malad East Mumbai 400097, Mumbai, Maharashtra",2377,3,3,4,1,2
29000000,"Andheri East, Mumbai, JVLR-Jogeshwari Vikhroli Link Road, Mumbai - Western Suburbs, Maharashtra",1377,3,2,2,1,4
25400000,"OPP.Shangrila bucit factory, Subhash Nagar, Bhandup West, Mumbai, Maharashtra 400078, Bhandup West, Mumbai - Central Line, Maharashtra",1507,3,3,1,1,2
